No,JapaneseName,ScientificName,AuthorYear,Rank
1,ニホンフサヤスデ属,Eudigraphis,"Silvestri, 1948",genus
2,シノハラフサヤスデ属,Polyxenus,"Latzel, 1884",genus
3,リュウキュウフサヤスデ属,Lophoturus,"Brölemann, 1931",genus
4,タマヤスデ属,Hyleoglomeris,"Verhoeff, 1910",genus
5,-,Glomeris,"Latreille, 1802",genus
6,ヒラタヤスデ属,Brachycybe,"Wood, 1864",genus
7,アカヒラタヤスデ属,Symphyopleurium,"Attems, 1951",genus
8,ヤマシナヒラタヤスデ属,Yamasinaium,"Verhoeff, 1939",genus
9,-,Angarozonium,"Shelley, 1998",genus
10,ジヤスデ属,Rhinotus,"Cook, 1896",genus
11,ツクシヤスデ属,Kiusiozonium,"Verhoeff, 1941",genus
12,イトヤスデ属,Orsiboe,"Attems, 1909",genus
13,ホラケヤスデ属,Speophilosoma,"Takakuwa, 1949",genus
14,オオトゲヤスデ属,Macrochaeteuma,"Verhoeff, 1914",genus
15,クラサワトゲヤスデ属,Niponiosoma,"Verhoeff, 1941",genus
16,シロケヤスデ属,Japanoparvus,"Shear, Tanabe & Tsurusaki, 1997",genus
17,ヤリヤスデ属,Japanosoma,"Verhoeff, 1914",genus
18,タカネヤリヤスデ属,Yasudatyla,"Shear & Tsurusaki, 1995",genus
19,ミコシヤスデ属,Diplomaragna,"Attems, 1907",genus
20,-,Sakhalineuma,"Golovatch, 1976",genus
21,クロイワヤスデ属,Pterygostegia,"Miyosi, 1958",genus
22,フトケヤスデ属,Tokyosoma,"Verhoeff, 1929",genus
23,ヒメケヤスデ属,Nipponothrix,"Shear & Tanabe, 1994",genus
24,-,Underwoodia,"Cook & Collins, 1895",genus
25,アマビコヤスデ属,Riukiaria,"Attems, 1938",genus
26,タカクワヤスデ属,Xystodesmus,"Cook in Cook & Collins, 1895",genus
27,ヤマンバヤスデ属,Levizonus,"Attems, 1898",genus
28,-,Rhysodesmus,"Cook in Cook & Collins, 1895",genus
29,ババヤスデ属,Parafontaria,"Verhoeff, 1936",genus
30,マクラギヤスデ属,Niponia,"Verhoeff, 1931",genus
31,シロハダヤスデ属,Kiusiunum,"Verhoeff, 1942",genus
32,-,Osa,"Kishida, 1927",genus
33,エリヤスデ属,Eutrichodesmus,"Silvestri, 1910",genus
34,キレコミヤスデ属,Prosopodesmus,"Silvestri, 1910",genus
35,ノコギリヤスデ属,Prionomatis,"Miyosi, 1956",genus
36,オビヤスデ属,Epanerchodus,"Attems, 1901",genus
37,モトオビヤスデ属,Polydesmus,"Latreille, 1802",genus
38,ニホンオビヤスデ属,Nipponesmus,"Chamberlin & Wang, 1953",genus
39,-,Uniramidesmus,"Golovatch in Golovatch & Mikhaljova, 1979",genus
40,ハガヤスデ属,Ampelodesmus,"Miyosi, 1956",genus
41,コブヤスデ属,Pseudocatapyrgodesmus,"Miyosi, 1957",genus
42,オウギヤスデ属,Cryptocorypha,"Attems, 1907",genus
43,ヒメオビヤスデ属,Corypholophus,"Attems, 1938",genus
44,ダケヤスデ属,Aponedyopus,"Verhoeff, 1939",genus
45,トサカヤスデ属,Chamberlinius,"Wang, 1956",genus
46,ミイツヤスデ属,Riukiupeltis,"Verhoeff, 1939",genus
47,モリヤスデ属,Haplogonosoma,"Brölemann, 1916",genus
48,アカヤスデ属,Nedyopus,"Attems, 1914",genus
49,-,Strongylosoma,"Brandt, 1833",genus
50,キベリヤケヤスデ属,Asiomorpha,"Verhoeff, 1939",genus
51,-,Orthomorpha,"Bollman, 1893",genus
52,ジーケルヤスデ属,Cawjeekelia,"Golovatch, 1980",genus
53,-,Orthomorphella,"Hoffman, 1963",genus
54,ヤケヤスデ属,Oxidus,"Cook, 1911",genus
55,インドケヤスデ属,Chondromorpha,"Silvestri, 1897",genus
56,ネジアシヤスデ属,Helicorthomorpha,"Attems, 1914",genus
57,マルヤスデ属,Spirobolus,"Brandt, 1833",genus
58,タカクワカグヤヤスデ属,Paraspirobolus,"Brölemann, 1902",genus
59,マガイカグヤヤスデ属,Pseudospirobolellus,"Carl, 1912",genus
60,ミナミヤスデ属,Trigoniulus,"Pocock, 1894",genus
61,ヒゲヤスデ属,Nannolene,"Bollman, 1887",genus
62,ヒモヤスデ属,Dolichoglyphius,"Verhoeff, 1938",genus
63,ヤハズヤスデ属,Glyphiulus,"Gervais, 1847",genus
64,ヒロウミヤスデ属,Okeanobates,"Verhoeff, 1939",genus
65,ヨシダヒメヤスデ属,Yosidaiulus,"Takakuwa, 1940",genus
66,フジヤスデ属,Anaulaciulus,"Pocock, 1895",genus
67,クロオナガヒメヤスデ属,Nepalmatoiulus,"Mauriès, 1983",genus
68,フジヤスデモドキ属,Japanioiulus,"Verhoeff, 1937",genus
69,-,Cylindroiulus,"Verhoeff, 1894",genus
70,タテウネホラヤスデ属,Antrokoreana,"Verhoeff, 1938",genus
71,ネンジュヤスデ属,Sinostemmiulus,"Chamberlin & Wang, 1953",genus
72,イチハシヤスデ属,Dasynemasoma,"Murakami, 1979",genus
73,ホソヤスデ属,Orinisobates,"Lohmander, 1933",genus
74,エゾヒメヤスデ属,Pseudonemasoma,"Enghoff, 1991",genus
75,（ホタルヒメヤスデ属）,Kopidoiulus,"Attems, 1909",genus
76,イカホヒメヤスデ属,Ikahoiulus,"Takakuwa, 1941",genus
77,リュウガヤスデ属,Skleroprotopus,"Attems, 1901",genus
78,ウエノヤスデ属,Uenoiulus,"Murakami, 1971",genus
79,クロヒメヤスデ属,Karteroiulus,"Attems, 1909",genus
80,フサヤスデ科,Polyxenidae,"Lucas, 1840",family
81,リュウキュウフサヤスデ科,Lophoproctidae,"Silvestri, 1897",family
82,タマヤスデ科,Glomeridae,"Leach, 1816",family
